Title,Element Name,Level
"Environmental Science Teachers, Postsecondary",Sales and Marketing,2.13
"Environmental Science Teachers, Postsecondary",Customer and Personal Service,4.2
"Environmental Science Teachers, Postsecondary",Personnel and Human Resources,2.75
"Environmental Science Teachers, Postsecondary",Production and Processing,1.37
"Environmental Science Teachers, Postsecondary",Food Production,1.71
"Environmental Science Teachers, Postsecondary",Computers and Electronics,4.99
"Environmental Science Teachers, Postsecondary",Engineering and Technology,3.08
"Environmental Science Teachers, Postsecondary",Design,1.65
"Environmental Science Teachers, Postsecondary",Building and Construction,1
"Environmental Science Teachers, Postsecondary",Mechanical,1.22
"Environmental Science Teachers, Postsecondary",Mathematics,4.8
"Environmental Science Teachers, Postsecondary",Physics,3.33
"Environmental Science Teachers, Postsecondary",Chemistry,3.72
"Environmental Science Teachers, Postsecondary",Biology,4.78
"Environmental Science Teachers, Postsecondary",Psychology,3.59
"Environmental Science Teachers, Postsecondary",Sociology and Anthropology,3.83
"Environmental Science Teachers, Postsecondary",Geography,5.59
"Environmental Science Teachers, Postsecondary",Medicine and Dentistry,2.02
"Environmental Science Teachers, Postsecondary",Therapy and Counseling,2.53
"Environmental Science Teachers, Postsecondary",Education and Training,6.45
"Environmental Science Teachers, Postsecondary",English Language,5.8
"Environmental Science Teachers, Postsecondary",Foreign Language,1.49
"Environmental Science Teachers, Postsecondary",Fine Arts,1.36
"Environmental Science Teachers, Postsecondary",History and Archeology,3.22
"Environmental Science Teachers, Postsecondary",Philosophy and Theology,2.7
"Environmental Science Teachers, Postsecondary",Public Safety and Security,2.59
"Environmental Science Teachers, Postsecondary",Law and Government,3.54
"Environmental Science Teachers, Postsecondary",Telecommunications,2.17
"Environmental Science Teachers, Postsecondary",Communications and Media,4.73
"Environmental Science Teachers, Postsecondary",Transportation,1.69
"Physics Teachers, Postsecondary",Administration and Management,2.9
"Physics Teachers, Postsecondary",Clerical,2.12
"Physics Teachers, Postsecondary",Economics and Accounting,0.89
"Physics Teachers, Postsecondary",Sales and Marketing,1.27
"Physics Teachers, Postsecondary",Customer and Personal Service,2.31
"Physics Teachers, Postsecondary",Personnel and Human Resources,3.18
"Physics Teachers, Postsecondary",Production and Processing,0.98
"Physics Teachers, Postsecondary",Food Production,0
"Physics Teachers, Postsecondary",Computers and Electronics,5.43
"Physics Teachers, Postsecondary",Engineering and Technology,4.63
"Physics Teachers, Postsecondary",Design,4.09
"Physics Teachers, Postsecondary",Building and Construction,1.8
"Physics Teachers, Postsecondary",Mechanical,3.68
"Physics Teachers, Postsecondary",Mathematics,6.92
"Physics Teachers, Postsecondary",Physics,6.97
"Physics Teachers, Postsecondary",Chemistry,3.9
"Physics Teachers, Postsecondary",Biology,1.84
"Physics Teachers, Postsecondary",Psychology,2.32
"Physics Teachers, Postsecondary",Sociology and Anthropology,2.1
"Physics Teachers, Postsecondary",Geography,3.89
"Physics Teachers, Postsecondary",Medicine and Dentistry,0.31
"Physics Teachers, Postsecondary",Therapy and Counseling,1.93
"Physics Teachers, Postsecondary",Education and Training,5.44
"Physics Teachers, Postsecondary",English Language,4.7
"Physics Teachers, Postsecondary",Foreign Language,1.56
"Physics Teachers, Postsecondary",Fine Arts,0.15
"Physics Teachers, Postsecondary",History and Archeology,2.42
"Physics Teachers, Postsecondary",Philosophy and Theology,2.87
"Physics Teachers, Postsecondary",Public Safety and Security,1.73
"Physics Teachers, Postsecondary",Law and Government,1.56
"Physics Teachers, Postsecondary",Telecommunications,2.99
"Physics Teachers, Postsecondary",Communications and Media,2.16
"Physics Teachers, Postsecondary",Transportation,0.64
"Anthropology and Archeology Teachers, Postsecondary",Administration and Management,3.24
"Anthropology and Archeology Teachers, Postsecondary",Clerical,2.79
"Anthropology and Archeology Teachers, Postsecondary",Economics and Accounting,1.1
"Anthropology and Archeology Teachers, Postsecondary",Sales and Marketing,1.13
"Anthropology and Archeology Teachers, Postsecondary",Customer and Personal Service,2.92
"Anthropology and Archeology Teachers, Postsecondary",Personnel and Human Resources,3.24
"Anthropology and Archeology Teachers, Postsecondary",Production and Processing,0.74
"Anthropology and Archeology Teachers, Postsecondary",Food Production,1.09
"Anthropology and Archeology Teachers, Postsecondary",Computers and Electronics,4.11
"Anthropology and Archeology Teachers, Postsecondary",Engineering and Technology,0.95
"Anthropology and Archeology Teachers, Postsecondary",Design,1.95
"Anthropology and Archeology Teachers, Postsecondary",Building and Construction,0.68
"Anthropology and Archeology Teachers, Postsecondary",Mechanical,1.17
"Anthropology and Archeology Teachers, Postsecondary",Mathematics,3.69
"Anthropology and Archeology Teachers, Postsecondary",Physics,1.19
"Anthropology and Archeology Teachers, Postsecondary",Chemistry,2.22
"Anthropology and Archeology Teachers, Postsecondary",Biology,3.54
"Anthropology and Archeology Teachers, Postsecondary",Psychology,3.66
"Anthropology and Archeology Teachers, Postsecondary",Sociology and Anthropology,6.24
"Anthropology and Archeology Teachers, Postsecondary",Geography,5.35
"Anthropology and Archeology Teachers, Postsecondary",Medicine and Dentistry,1.5
"Anthropology and Archeology Teachers, Postsecondary",Therapy and Counseling,2.74
"Anthropology and Archeology Teachers, Postsecondary",Education and Training,5.95
"Anthropology and Archeology Teachers, Postsecondary",English Language,5.8
"Anthropology and Archeology Teachers, Postsecondary",Foreign Language,3.86
"Anthropology and Archeology Teachers, Postsecondary",Fine Arts,1.87
"Anthropology and Archeology Teachers, Postsecondary",History and Archeology,6.17
"Anthropology and Archeology Teachers, Postsecondary",Philosophy and Theology,4.84
"Anthropology and Archeology Teachers, Postsecondary",Public Safety and Security,1.97
"Anthropology and Archeology Teachers, Postsecondary",Law and Government,2.36
"Anthropology and Archeology Teachers, Postsecondary",Telecommunications,1.04
"Anthropology and Archeology Teachers, Postsecondary",Communications and Media,3.96
"Anthropology and Archeology Teachers, Postsecondary",Transportation,1.33
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Administration and Management,3.67
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Clerical,3.74
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Economics and Accounting,1.43
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Sales and Marketing,2.58
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Customer and Personal Service,4.01
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Personnel and Human Resources,2.71
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Production and Processing,1.62
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Food Production,0.44
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Computers and Electronics,4.37
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Engineering and Technology,0.52
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Design,2.09
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Building and Construction,0.13
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Mechanical,0.44
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Mathematics,3.12
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Physics,0.58
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Chemistry,0.56
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Biology,2.49
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Psychology,4.37
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Sociology and Anthropology,5.87
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Geography,5.26
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Medicine and Dentistry,1.48
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Therapy and Counseling,3.17
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Education and Training,5.85
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",English Language,5.89
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Foreign Language,5.48
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Fine Arts,2.79
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",History and Archeology,5.13
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Philosophy and Theology,4.5
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Public Safety and Security,0.93
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Law and Government,3.91
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Telecommunications,1.29
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Communications and Media,3.46
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Transportation,1.05
"Economics Teachers, Postsecondary",Administration and Management,2.38
"Economics Teachers, Postsecondary",Clerical,2.5
"Economics Teachers, Postsecondary",Economics and Accounting,5.74
"Economics Teachers, Postsecondary",Sales and Marketing,1.53
"Economics Teachers, Postsecondary",Customer and Personal Service,2.92
"Economics Teachers, Postsecondary",Personnel and Human Resources,2.24
"Economics Teachers, Postsecondary",Production and Processing,0.9
"Economics Teachers, Postsecondary",Food Production,0.54
"Economics Teachers, Postsecondary",Computers and Electronics,3.99
"Economics Teachers, Postsecondary",Engineering and Technology,0.91
"Economics Teachers, Postsecondary",Design,0.68
"Economics Teachers, Postsecondary",Building and Construction,0.05
"Economics Teachers, Postsecondary",Mechanical,0.17
"Economics Teachers, Postsecondary",Mathematics,5.43
"Economics Teachers, Postsecondary",Physics,0.36
"Economics Teachers, Postsecondary",Chemistry,0.3
"Economics Teachers, Postsecondary",Biology,0.64
"Economics Teachers, Postsecondary",Psychology,1.8
"Economics Teachers, Postsecondary",Sociology and Anthropology,2.68
"Economics Teachers, Postsecondary",Geography,3.45
"Economics Teachers, Postsecondary",Medicine and Dentistry,0.34
"Economics Teachers, Postsecondary",Therapy and Counseling,0.79
"Economics Teachers, Postsecondary",Education and Training,4.16
"Economics Teachers, Postsecondary",English Language,5.3
"Economics Teachers, Postsecondary",Foreign Language,1.13
"Economics Teachers, Postsecondary",Fine Arts,0.48
"Economics Teachers, Postsecondary",History and Archeology,3.1
"Economics Teachers, Postsecondary",Philosophy and Theology,2.81
"Economics Teachers, Postsecondary",Public Safety and Security,0.73
"Economics Teachers, Postsecondary",Law and Government,3.35
"Economics Teachers, Postsecondary",Telecommunications,0.97
"Economics Teachers, Postsecondary",Communications and Media,2.34
"Economics Teachers, Postsecondary",Transportation,1.34
"Geography Teachers, Postsecondary",Administration and Management,3.33
"Geography Teachers, Postsecondary",Clerical,3.44
"Geography Teachers, Postsecondary",Economics and Accounting,2.49
"Geography Teachers, Postsecondary",Sales and Marketing,1.55
"Geography Teachers, Postsecondary",Customer and Personal Service,3.47
"Geography Teachers, Postsecondary",Personnel and Human Resources,3.26
"Geography Teachers, Postsecondary",Production and Processing,1.05
"Geography Teachers, Postsecondary",Food Production,0.55
"Geography Teachers, Postsecondary",Computers and Electronics,4.53
"Geography Teachers, Postsecondary",Engineering and Technology,2.68
"Geography Teachers, Postsecondary",Design,2.2
"Geography Teachers, Postsecondary",Building and Construction,1.13
"Geography Teachers, Postsecondary",Mechanical,2.2
"Geography Teachers, Postsecondary",Mathematics,4.91
"Geography Teachers, Postsecondary",Physics,2.55
"Geography Teachers, Postsecondary",Chemistry,2.69
"Geography Teachers, Postsecondary",Biology,4.47
"Geography Teachers, Postsecondary",Psychology,2.82
"Geography Teachers, Postsecondary",Sociology and Anthropology,4.32
"Geography Teachers, Postsecondary",Geography,6.79
"Geography Teachers, Postsecondary",Medicine and Dentistry,0.24
"Geography Teachers, Postsecondary",Therapy and Counseling,1.63
"Geography Teachers, Postsecondary",Education and Training,5.57
"Geography Teachers, Postsecondary",English Language,5.85
"Geography Teachers, Postsecondary",Foreign Language,2.55
"Geography Teachers, Postsecondary",Fine Arts,1.26
"Geography Teachers, Postsecondary",History and Archeology,4
"Geography Teachers, Postsecondary",Philosophy and Theology,3.28
"Geography Teachers, Postsecondary",Public Safety and Security,1.93
"Geography Teachers, Postsecondary",Law and Government,2.64
"Geography Teachers, Postsecondary",Telecommunications,1.08
"Geography Teachers, Postsecondary",Communications and Media,3.26
"Geography Teachers, Postsecondary",Transportation,2.17
"Political Science Teachers, Postsecondary",Administration and Management,3.84
"Political Science Teachers, Postsecondary",Clerical,4.13
"Political Science Teachers, Postsecondary",Economics and Accounting,3.04
"Political Science Teachers, Postsecondary",Sales and Marketing,2.11
"Political Science Teachers, Postsecondary",Customer and Personal Service,4.58
"Political Science Teachers, Postsecondary",Personnel and Human Resources,3.65
"Political Science Teachers, Postsecondary",Production and Processing,0.84
"Political Science Teachers, Postsecondary",Food Production,0.07
"Political Science Teachers, Postsecondary",Computers and Electronics,4.41
"Political Science Teachers, Postsecondary",Engineering and Technology,0.55
"Political Science Teachers, Postsecondary",Design,0.66
"Political Science Teachers, Postsecondary",Building and Construction,0
"Political Science Teachers, Postsecondary",Mechanical,0.38
"Political Science Teachers, Postsecondary",Mathematics,4.23
"Political Science Teachers, Postsecondary",Physics,0.77
"Political Science Teachers, Postsecondary",Chemistry,0.71
"Political Science Teachers, Postsecondary",Biology,1.23
"Political Science Teachers, Postsecondary",Psychology,4.09
"Political Science Teachers, Postsecondary",Sociology and Anthropology,5.11
"Political Science Teachers, Postsecondary",Geography,4.54
"Political Science Teachers, Postsecondary",Medicine and Dentistry,0.52
"Political Science Teachers, Postsecondary",Therapy and Counseling,2.87
"Political Science Teachers, Postsecondary",Education and Training,6.13
"Political Science Teachers, Postsecondary",English Language,6.01
"Political Science Teachers, Postsecondary",Foreign Language,3.09
"Political Science Teachers, Postsecondary",Fine Arts,1.56
"Political Science Teachers, Postsecondary",History and Archeology,5.41
"Political Science Teachers, Postsecondary",Philosophy and Theology,6.2
"Political Science Teachers, Postsecondary",Public Safety and Security,2.97
"Political Science Teachers, Postsecondary",Law and Government,5.42
"Political Science Teachers, Postsecondary",Telecommunications,1
"Political Science Teachers, Postsecondary",Communications and Media,4.99
"Political Science Teachers, Postsecondary",Transportation,1.27
"Psychology Teachers, Postsecondary",Administration and Management,2.76
"Psychology Teachers, Postsecondary",Clerical,3.93
"Psychology Teachers, Postsecondary",Economics and Accounting,1.65
"Psychology Teachers, Postsecondary",Sales and Marketing,1.94
"Psychology Teachers, Postsecondary",Customer and Personal Service,3.52
"Psychology Teachers, Postsecondary",Personnel and Human Resources,3.25
"Psychology Teachers, Postsecondary",Production and Processing,0.65
"Psychology Teachers, Postsecondary",Food Production,0.18
"Psychology Teachers, Postsecondary",Computers and Electronics,3.98
"Psychology Teachers, Postsecondary",Engineering and Technology,0.96
"Psychology Teachers, Postsecondary",Design,0.88
"Psychology Teachers, Postsecondary",Building and Construction,0.72
"Psychology Teachers, Postsecondary",Mechanical,0.76
"Psychology Teachers, Postsecondary",Mathematics,4.34
"Psychology Teachers, Postsecondary",Physics,0.75
"Psychology Teachers, Postsecondary",Chemistry,1.29
"Psychology Teachers, Postsecondary",Biology,3.43
"Psychology Teachers, Postsecondary",Psychology,6.32
"Psychology Teachers, Postsecondary",Sociology and Anthropology,4.71
"Psychology Teachers, Postsecondary",Geography,2.11
"Psychology Teachers, Postsecondary",Medicine and Dentistry,2.44
"Psychology Teachers, Postsecondary",Therapy and Counseling,4.73
"Psychology Teachers, Postsecondary",Education and Training,5.89
"Psychology Teachers, Postsecondary",English Language,5.57
"Psychology Teachers, Postsecondary",Foreign Language,0.77
"Psychology Teachers, Postsecondary",Fine Arts,0.54
"Psychology Teachers, Postsecondary",History and Archeology,2.92
"Psychology Teachers, Postsecondary",Philosophy and Theology,4.52
"Psychology Teachers, Postsecondary",Public Safety and Security,1.38
"Psychology Teachers, Postsecondary",Law and Government,2.53
"Psychology Teachers, Postsecondary",Telecommunications,1.12
"Psychology Teachers, Postsecondary",Communications and Media,3.41
"Psychology Teachers, Postsecondary",Transportation,1.07
"Sociology Teachers, Postsecondary",Administration and Management,3.34
"Sociology Teachers, Postsecondary",Clerical,3.66
"Sociology Teachers, Postsecondary",Economics and Accounting,1.65
"Sociology Teachers, Postsecondary",Sales and Marketing,1.93
"Sociology Teachers, Postsecondary",Customer and Personal Service,4.07
"Sociology Teachers, Postsecondary",Personnel and Human Resources,2.57
"Sociology Teachers, Postsecondary",Production and Processing,0.26
"Sociology Teachers, Postsecondary",Food Production,0.01
"Sociology Teachers, Postsecondary",Computers and Electronics,4.68
"Sociology Teachers, Postsecondary",Engineering and Technology,0.21
"Sociology Teachers, Postsecondary",Design,0.71
"Sociology Teachers, Postsecondary",Building and Construction,0.06
"Sociology Teachers, Postsecondary",Mechanical,0.09
"Sociology Teachers, Postsecondary",Mathematics,4.43
"Sociology Teachers, Postsecondary",Physics,0.21
"Sociology Teachers, Postsecondary",Chemistry,0.21
"Sociology Teachers, Postsecondary",Biology,1.12
"Sociology Teachers, Postsecondary",Psychology,4.45
"Sociology Teachers, Postsecondary",Sociology and Anthropology,6.57
"Sociology Teachers, Postsecondary",Geography,3.77
"Sociology Teachers, Postsecondary",Medicine and Dentistry,0.57
"Sociology Teachers, Postsecondary",Therapy and Counseling,2.73
"Sociology Teachers, Postsecondary",Education and Training,6.01
"Sociology Teachers, Postsecondary",English Language,6.05
"Sociology Teachers, Postsecondary",Foreign Language,1.59
"Sociology Teachers, Postsecondary",Fine Arts,0.83
"Sociology Teachers, Postsecondary",History and Archeology,4.34
"Sociology Teachers, Postsecondary",Philosophy and Theology,5.35
"Sociology Teachers, Postsecondary",Public Safety and Security,1.46
"Sociology Teachers, Postsecondary",Law and Government,3.23
"Sociology Teachers, Postsecondary",Telecommunications,1.18
"Sociology Teachers, Postsecondary",Communications and Media,3.44
"Sociology Teachers, Postsecondary",Transportation,0.54
"Health Specialties Teachers, Postsecondary",Administration and Management,3.34
"Health Specialties Teachers, Postsecondary",Clerical,3.86
"Health Specialties Teachers, Postsecondary",Economics and Accounting,1.55
"Health Specialties Teachers, Postsecondary",Sales and Marketing,2.16
"Health Specialties Teachers, Postsecondary",Customer and Personal Service,3.91
"Health Specialties Teachers, Postsecondary",Personnel and Human Resources,2.94
"Health Specialties Teachers, Postsecondary",Production and Processing,1.25
"Health Specialties Teachers, Postsecondary",Food Production,0.8
"Health Specialties Teachers, Postsecondary",Computers and Electronics,3.49
"Health Specialties Teachers, Postsecondary",Engineering and Technology,2.1
"Health Specialties Teachers, Postsecondary",Design,2.25
"Health Specialties Teachers, Postsecondary",Building and Construction,1.08
"Health Specialties Teachers, Postsecondary",Mechanical,2.41
"Health Specialties Teachers, Postsecondary",Mathematics,4.33
"Health Specialties Teachers, Postsecondary",Physics,3.36
"Health Specialties Teachers, Postsecondary",Chemistry,3.29
"Health Specialties Teachers, Postsecondary",Biology,4.76
"Health Specialties Teachers, Postsecondary",Psychology,4.76
"Health Specialties Teachers, Postsecondary",Sociology and Anthropology,3.94
"Health Specialties Teachers, Postsecondary",Geography,1.52
"Health Specialties Teachers, Postsecondary",Medicine and Dentistry,5.27
"Health Specialties Teachers, Postsecondary",Therapy and Counseling,4.23
"Health Specialties Teachers, Postsecondary",Education and Training,6.43
"Health Specialties Teachers, Postsecondary",English Language,5.51
"Health Specialties Teachers, Postsecondary",Foreign Language,0.81
"Health Specialties Teachers, Postsecondary",Fine Arts,0.4
"Health Specialties Teachers, Postsecondary",History and Archeology,0.95
"Health Specialties Teachers, Postsecondary",Philosophy and Theology,2.03
"Health Specialties Teachers, Postsecondary",Public Safety and Security,2.87
"Health Specialties Teachers, Postsecondary",Law and Government,3.24
"Health Specialties Teachers, Postsecondary",Telecommunications,2.29
"Health Specialties Teachers, Postsecondary",Communications and Media,3.36
"Health Specialties Teachers, Postsecondary",Transportation,0.74
"Nursing Instructors and Teachers, Postsecondary",Administration and Management,3.81
"Nursing Instructors and Teachers, Postsecondary",Clerical,4.06
"Nursing Instructors and Teachers, Postsecondary",Economics and Accounting,1.8
"Nursing Instructors and Teachers, Postsecondary",Sales and Marketing,1.94
"Nursing Instructors and Teachers, Postsecondary",Customer and Personal Service,5.7
"Nursing Instructors and Teachers, Postsecondary",Personnel and Human Resources,3.36
"Nursing Instructors and Teachers, Postsecondary",Production and Processing,1.43
"Nursing Instructors and Teachers, Postsecondary",Food Production,0.47
"Nursing Instructors and Teachers, Postsecondary",Computers and Electronics,3.61
"Nursing Instructors and Teachers, Postsecondary",Engineering and Technology,1.42
"Nursing Instructors and Teachers, Postsecondary",Design,0.89
"Nursing Instructors and Teachers, Postsecondary",Building and Construction,0.32
"Nursing Instructors and Teachers, Postsecondary",Mechanical,0.9
"Nursing Instructors and Teachers, Postsecondary",Mathematics,4.42
"Nursing Instructors and Teachers, Postsecondary",Physics,1.67
"Nursing Instructors and Teachers, Postsecondary",Chemistry,4.02
"Nursing Instructors and Teachers, Postsecondary",Biology,4.92
"Nursing Instructors and Teachers, Postsecondary",Psychology,5.48
"Nursing Instructors and Teachers, Postsecondary",Sociology and Anthropology,4.83
"Nursing Instructors and Teachers, Postsecondary",Geography,1.92
"Nursing Instructors and Teachers, Postsecondary",Medicine and Dentistry,4.5
"Nursing Instructors and Teachers, Postsecondary",Therapy and Counseling,5.25
"Nursing Instructors and Teachers, Postsecondary",Education and Training,6.59
"Nursing Instructors and Teachers, Postsecondary",English Language,5.82
"Nursing Instructors and Teachers, Postsecondary",Foreign Language,1.74
"Nursing Instructors and Teachers, Postsecondary",Fine Arts,0.69
"Nursing Instructors and Teachers, Postsecondary",History and Archeology,1.91
"Nursing Instructors and Teachers, Postsecondary",Philosophy and Theology,3.99
"Nursing Instructors and Teachers, Postsecondary",Public Safety and Security,2.9
"Nursing Instructors and Teachers, Postsecondary",Law and Government,2.91
"Nursing Instructors and Teachers, Postsecondary",Telecommunications,1.62
"Nursing Instructors and Teachers, Postsecondary",Communications and Media,3.61
"Nursing Instructors and Teachers, Postsecondary",Transportation,1.23
"Education Teachers, Postsecondary",Administration and Management,3.37
"Education Teachers, Postsecondary",Clerical,3.83
"Education Teachers, Postsecondary",Economics and Accounting,0.75
"Education Teachers, Postsecondary",Sales and Marketing,1.47
"Education Teachers, Postsecondary",Customer and Personal Service,4.62
"Education Teachers, Postsecondary",Personnel and Human Resources,3.1
"Education Teachers, Postsecondary",Production and Processing,1.65
"Education Teachers, Postsecondary",Food Production,0.13
"Education Teachers, Postsecondary",Computers and Electronics,4.2
"Education Teachers, Postsecondary",Engineering and Technology,1.05
"Education Teachers, Postsecondary",Design,0.45
"Education Teachers, Postsecondary",Building and Construction,0
"Education Teachers, Postsecondary",Mechanical,0.62
"Education Teachers, Postsecondary",Mathematics,3.09
"Education Teachers, Postsecondary",Physics,0.72
"Education Teachers, Postsecondary",Chemistry,0.47
"Education Teachers, Postsecondary",Biology,1.73
"Education Teachers, Postsecondary",Psychology,5.1
"Education Teachers, Postsecondary",Sociology and Anthropology,4.82
"Education Teachers, Postsecondary",Geography,1.99
"Education Teachers, Postsecondary",Medicine and Dentistry,1.33
"Education Teachers, Postsecondary",Therapy and Counseling,3.7
"Education Teachers, Postsecondary",Education and Training,6.64
"Education Teachers, Postsecondary",English Language,5.89
"Education Teachers, Postsecondary",Foreign Language,1.68
"Education Teachers, Postsecondary",Fine Arts,1.38
"Education Teachers, Postsecondary",History and Archeology,2.82
"Education Teachers, Postsecondary",Philosophy and Theology,3.38
"Education Teachers, Postsecondary",Public Safety and Security,2.32
"Education Teachers, Postsecondary",Law and Government,3.35
"Education Teachers, Postsecondary",Telecommunications,0.96
"Education Teachers, Postsecondary",Communications and Media,3.47
"Education Teachers, Postsecondary",Transportation,0.16
"Library Science Teachers, Postsecondary",Administration and Management,3.79
"Library Science Teachers, Postsecondary",Clerical,3.56
"Library Science Teachers, Postsecondary",Economics and Accounting,1.28
"Library Science Teachers, Postsecondary",Sales and Marketing,2.84
"Library Science Teachers, Postsecondary",Customer and Personal Service,4.25
"Library Science Teachers, Postsecondary",Personnel and Human Resources,2.82
"Library Science Teachers, Postsecondary",Production and Processing,0.88
"Library Science Teachers, Postsecondary",Food Production,0
"Library Science Teachers, Postsecondary",Computers and Electronics,4.53
"Library Science Teachers, Postsecondary",Engineering and Technology,0.68
"Library Science Teachers, Postsecondary",Design,1.85
"Library Science Teachers, Postsecondary",Building and Construction,0.06
"Library Science Teachers, Postsecondary",Mechanical,0.45
"Library Science Teachers, Postsecondary",Mathematics,3.49
"Library Science Teachers, Postsecondary",Physics,0.06
"Library Science Teachers, Postsecondary",Chemistry,0.05
"Library Science Teachers, Postsecondary",Biology,0.38
"Library Science Teachers, Postsecondary",Psychology,3.08
"Library Science Teachers, Postsecondary",Sociology and Anthropology,3.61
"Library Science Teachers, Postsecondary",Geography,2.97
"Library Science Teachers, Postsecondary",Medicine and Dentistry,0.39
"Library Science Teachers, Postsecondary",Therapy and Counseling,2.45
"Library Science Teachers, Postsecondary",Education and Training,6.37
"Library Science Teachers, Postsecondary",English Language,5.67
"Library Science Teachers, Postsecondary",Foreign Language,1.23
"Library Science Teachers, Postsecondary",Fine Arts,0.8
"Library Science Teachers, Postsecondary",History and Archeology,2.78
"Library Science Teachers, Postsecondary",Philosophy and Theology,2.77
"Library Science Teachers, Postsecondary",Public Safety and Security,1.94
"Library Science Teachers, Postsecondary",Law and Government,3.07
"Library Science Teachers, Postsecondary",Telecommunications,2.73
"Library Science Teachers, Postsecondary",Communications and Media,4.13
"Library Science Teachers, Postsecondary",Transportation,1.07
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Administration and Management,3.29
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Clerical,3.69
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Economics and Accounting,1.57
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Sales and Marketing,1.7
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Customer and Personal Service,3.67
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Personnel and Human Resources,2.74
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Production and Processing,1.08
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Food Production,0.32
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Computers and Electronics,4.05
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Engineering and Technology,1.61
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Design,1.1
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Building and Construction,1
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Mechanical,1.1
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Mathematics,3.19
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Physics,0.93
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Chemistry,1.52
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Biology,1.85
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Psychology,4.56
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Sociology and Anthropology,4.7
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Geography,3.43
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Medicine and Dentistry,1.56
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Therapy and Counseling,3.79
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Education and Training,5.61
"Criminal Justice and Law Enforcement Teachers, Postsecondary",English Language,5.56
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Foreign Language,1.8
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Fine Arts,1.1
"Criminal Justice and Law Enforcement Teachers, Postsecondary",History and Archeology,3.37
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Philosophy and Theology,3.51
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Public Safety and Security,4.88
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Law and Government,5.22
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Telecommunications,2.29
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Communications and Media,3.55
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Transportation,1.82
