Title,SupplementalTasks,CoreTasks,Technology,Description
Oral and Maxillofacial Surgeons,"['Perform minor cosmetic procedures, such as chin and cheekbone enhancements.', 'Perform minor facial rejuvenation procedures, including the use of Botox and laser technology.', 'Treat snoring problems, using laser surgery.']","['Administer general and local anesthetics.', 'Collaborate with other professionals, such as restorative dentists and orthodontists, to plan treatment.', 'Evaluate the position of the wisdom teeth to determine whether problems exist currently or might occur in the future.', 'Perform surgery to prepare the mouth for dental implants, and to aid in the regeneration of deficient bone and gum tissues.', 'Remove impacted, damaged, and non-restorable teeth.', 'Treat infections of the oral cavity, salivary glands, jaws, and neck.', 'Remove tumors and other abnormal growths of the oral and facial regions, using surgical instruments.', 'Provide emergency treatment of facial injuries including facial lacerations, intra-oral lacerations, and fractured facial bones.', 'Treat problems affecting the oral mucosa, such as mouth ulcers and infections.', 'Restore form and function by moving skin, bone, nerves, and other tissues from other parts of the body to reconstruct the jaws and face.', 'Perform surgery on the mouth and jaws to treat conditions, such as cleft lip and palate and jaw growth problems.']",[],"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance."
Orthodontists,[],"[""Study diagnostic records, such as medical or dental histories, plaster models of the teeth, photos of a patient's face and teeth, and X-rays, to develop patient treatment plans."", 'Adjust dental appliances to produce and maintain normal function.', ""Fit dental appliances in patients' mouths to alter the position and relationship of teeth and jaws or to realign teeth."", 'Diagnose teeth and jaw or other dental-facial abnormalities.', 'Examine patients to assess abnormalities of jaw development, tooth position, and other dental-facial structures.', 'Provide patients with proposed treatment plans and cost estimates.', 'Instruct dental officers and technical assistants in orthodontic procedures and techniques.', 'Prepare diagnostic and treatment records.', 'Design and fabricate appliances, such as space maintainers, retainers, and labial and lingual arch wires.', 'Coordinate orthodontic services with other dental and medical services.']",[],"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance."
Prosthodontists,[],"[""Measure and take impressions of patients' jaws and teeth to determine the shape and size of dental prostheses, using face bows, dental articulators, recording devices, and other materials."", 'Replace missing teeth and associated oral structures with permanent fixtures, such as implant-supported prostheses, crowns and bridges, or removable fixtures, such as dentures.', 'Design and fabricate dental prostheses, or supervise dental technicians and laboratory bench workers who construct the devices.', 'Fit prostheses to patients, making any necessary adjustments and modifications.', 'Restore function and aesthetics to traumatic injury victims, or to individuals with diseases or birth defects.', 'Collaborate with general dentists, specialists, and other health professionals to develop solutions to dental and oral health concerns.', 'Repair, reline, or rebase dentures.', 'Place veneers onto teeth to conceal defects.', 'Use bonding technology on the surface of the teeth to change tooth shape or to close gaps.', 'Treat facial pain and jaw joint problems.', 'Bleach discolored teeth to brighten and whiten them.']",[],"Construct oral prostheses to replace missing teeth and other oral structures to correct natural and acquired deformation of mouth and jaws, to restore and maintain oral function, such as chewing and speaking, and to improve appearance."
Dietitians and Nutritionists,"['Confer with design, building, and equipment personnel to plan for construction and remodeling of food service units.', 'Test new food products and equipment.']","['Monitor food service operations to ensure conformance to nutritional, safety, sanitation and quality standards.', 'Assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling.', 'Advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.', 'Counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life.', 'Consult with physicians and health care personnel to determine nutritional needs and diet restrictions of patient or client.', 'Plan, conduct, and evaluate dietary, nutritional, and epidemiological research.', 'Write research reports and other publications to document and communicate research findings.', 'Purchase food in accordance with health and safety codes.', 'Manage quantity food service departments or clinical and community nutrition services.', 'Coordinate diet counseling services.', 'Make recommendations regarding public policy, such as nutrition labeling, food fortification, and nutrition standards for school programs.', 'Inspect meals served for conformance to prescribed diets and standards of palatability and appearance.', 'Select, train and supervise workers who plan, prepare and serve meals.', 'Organize, develop, analyze, test, and prepare special meals such as low-fat, low-cholesterol and chemical-free meals.', 'Prepare and administer budgets for food, equipment and supplies.', 'Plan and prepare grant proposals to request program funding.', 'Develop curriculum and prepare manuals, visual aids, course outlines, and other materials used in teaching.', 'Advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.', 'Plan and conduct training programs in dietetics, nutrition, and institutional management and administration for medical students, health-care personnel and the general public.', 'Develop policies for food service or nutritional programs to assist in health promotion and disease control.', 'Coordinate recipe development and standardization and develop new menus for independent food service operations.']","['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']","Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease. May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research."
Optometrists,[],"['Examine eyes, using observation, instruments and pharmaceutical agents, to determine visual acuity and perception, focus and coordination and to diagnose diseases and other abnormalities such as glaucoma or color blindness.', 'Prescribe, supply, fit and adjust eyeglasses, contact lenses and other vision aids.', 'Analyze test results and develop a treatment plan.', 'Prescribe medications to treat eye diseases if state laws permit.', 'Remove foreign bodies from the eye.', 'Prescribe therapeutic procedures to correct or conserve vision.', 'Educate and counsel patients on contact lens care, visual hygiene, lighting arrangements and safety factors.', 'Consult with and refer patients to ophthalmologist or other health care practitioner if additional medical treatment is determined necessary.', 'Provide patients undergoing eye surgeries, such as cataract and laser vision correction, with pre- and post-operative care.', 'Provide vision therapy and low vision rehabilitation.']","['Intuit QuickBooks', 'Microsoft Access', 'Microsoft SQL Server']","Diagnose, manage, and treat conditions and diseases of the human eye and visual system. Examine eyes and visual system, diagnose problems or impairments, prescribe corrective lenses, and provide treatment. May prescribe therapeutic drugs to treat specific eye conditions."
Pharmacists,"['Work in hospitals or clinics or for Health Management Organizations (HMOs), dispensing prescriptions, serving as a medical team consultant, or specializing in specific drug therapy areas, such as oncology or nuclear pharmacotherapy.', ""Prepare sterile solutions or infusions for use in surgical procedures, emergency rooms, or patients' homes."", 'Update or troubleshoot pharmacy information databases.', 'Publish educational information for other pharmacists, doctors, or patients.']","['Review prescriptions to assure accuracy, to ascertain the needed ingredients, and to evaluate their suitability.', 'Provide information and advice regarding drug interactions, side effects, dosage, and proper medication storage.', 'Maintain records, such as pharmacy files, patient profiles, charge system files, inventories, control records for radioactive nuclei, or registries of poisons, narcotics, or controlled drugs.', 'Plan, implement, or maintain procedures for mixing, packaging, or labeling pharmaceuticals, according to policy and legal requirements, to ensure quality, security, and proper disposal.', 'Assess the identity, strength, or purity of medications.', 'Collaborate with other health care professionals to plan, monitor, review, or evaluate the quality or effectiveness of drugs or drug regimens, providing advice on drug applications or characteristics.', 'Order and purchase pharmaceutical supplies, medical supplies, or drugs, maintaining stock and storing and handling it properly.', 'Analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.', 'Advise customers on the selection of medication brands, medical equipment, or healthcare supplies.', 'Compound and dispense medications as prescribed by doctors and dentists, by calculating, weighing, measuring, and mixing ingredients, or oversee these activities.', 'Manage pharmacy operations, hiring or supervising staff, performing administrative duties, or buying or selling non-pharmaceutical merchandise.', 'Provide specialized services to help patients manage conditions such as diabetes, asthma, smoking cessation, or high blood pressure.', 'Offer health promotion or prevention activities, such as training people to use blood pressure devices or diabetes monitors.', 'Contact insurance companies to resolve billing issues.', 'Teach pharmacy students serving as interns in preparation for their graduation or licensure.', 'Refer patients to other health professionals or agencies when appropriate.']","['Epic Systems', 'MEDITECH software', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']","Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use. May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications."
Anesthesiologists,"['Schedule and maintain use of surgical suite, including operating, wash-up, waiting rooms, or anesthetic and sterilizing equipment.', 'Conduct medical research to aid in controlling and curing disease, to investigate new medications, and to develop and test new medical techniques.']","['Monitor patient before, during, and after anesthesia and counteract adverse reactions or complications.', 'Record type and amount of anesthesia and patient condition throughout procedure.', 'Provide and maintain life support and airway management and help prepare patients for emergency surgery.', 'Administer anesthetic or sedation during medical procedures, using local, intravenous, spinal, or caudal methods.', 'Examine patient, obtain medical history, and use diagnostic tests to determine risk during surgical, obstetrical, and other medical procedures.', 'Position patient on operating table to maximize patient comfort and surgical accessibility.', 'Coordinate administration of anesthetics with surgeons during operation.', 'Decide when patients have recovered or stabilized enough to be sent to another room or ward or to be sent home following outpatient surgery.', 'Confer with other medical professionals to determine type and method of anesthetic or sedation to render patient insensible to pain.', 'Order laboratory tests, x-rays, and other diagnostic procedures.', 'Inform students and staff of types and methods of anesthesia administration, signs of complications, and emergency methods to counteract reactions.', 'Provide medical care and consultation in many settings, prescribing medication and treatment and referring patients for surgery.', 'Manage anesthesiological services, coordinating them with other medical activities and formulating plans and procedures.', 'Diagnose illnesses, using examinations, tests, and reports.', 'Coordinate and direct work of nurses, medical technicians, and other health care providers.', 'Instruct individuals and groups on ways to preserve health and prevent disease.']","['Microsoft Access', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']","Physicians who administer anesthetics prior to, during, or after surgery or other medical procedures."
Family and General Practitioners,"['Deliver babies.', 'Operate on patients to remove, repair, or improve functioning of diseased or injured body parts and systems.', 'Train residents, medical students, and other health care professionals.', 'Prepare government or organizational reports which include birth, death, and disease statistics, workforce evaluations, or medical status of individuals.', 'Conduct research to study anatomy and develop or test medications, treatments, or procedures to prevent or control disease or injury.']","['Prescribe or administer treatment, therapy, medication, vaccination, and other specialized medical care to treat or prevent illness, disease, or injury.', ""Order, perform, and interpret tests and analyze records, reports, and examination information to diagnose patients' condition."", 'Collect, record, and maintain patient information, such as medical history, reports, or examination results.', ""Monitor patients' conditions and progress and reevaluate treatments as necessary."", 'Explain procedures and discuss test results or prescribed treatments with patients.', 'Advise patients and community members concerning diet, activity, hygiene, and disease prevention.', 'Refer patients to medical specialists or other practitioners when necessary.', 'Coordinate work with nurses, social workers, rehabilitation therapists, pharmacists, psychologists, and other health care providers.', 'Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.', 'Plan, implement, or administer health programs or standards in hospitals, businesses, or communities for prevention or treatment of injury or illness.']","['MEDITECH software', 'Microsoft Excel']","Physicians who diagnose, treat, and help prevent diseases and injuries that commonly occur in the general population. May refer patients to specialists when needed for further diagnosis or treatment."
"Internists, General","['Operate on patients to remove, repair, or improve functioning of diseased or injured body parts and systems.', 'Plan, implement, or administer health programs in hospitals, businesses, or communities for prevention and treatment of injuries or illnesses.', 'Conduct research to develop or test medications, treatments, or procedures to prevent or control disease or injury.']","['Treat internal disorders, such as hypertension, heart disease, diabetes, or problems of the lung, brain, kidney, or gastrointestinal tract.', 'Prescribe or administer medication, therapy, and other specialized medical care to treat or prevent illness, disease, or injury.', 'Explain procedures and discuss test results or prescribed treatments with patients.', 'Manage and treat common health problems, such as infections, influenza or pneumonia, as well as serious, chronic, and complex illnesses, in adolescents, adults, and the elderly.', 'Analyze records, reports, test results, or examination information to diagnose medical condition of patient.', 'Provide and manage long-term, comprehensive medical care, including diagnosis and nonsurgical treatment of diseases, for adult patients in an office or hospital.', 'Collect, record, and maintain patient information, such as medical history, reports, or examination results.', 'Make diagnoses when different illnesses occur together or in situations where the diagnosis may be obscure.', ""Monitor patients' conditions and progress and reevaluate treatments as necessary."", 'Advise patients and community members concerning diet, activity, hygiene, and disease prevention.', 'Immunize patients to protect them from preventable diseases.', 'Refer patient to medical specialist or other practitioner when necessary.', ""Advise surgeon of a patient's risk status and recommend appropriate intervention to minimize risk."", 'Provide consulting services to other doctors caring for patients with special or difficult problems.', 'Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.', 'Prepare government or organizational reports on birth, death, and disease statistics, workforce evaluations, or the medical status of individuals.']","['Epic Systems', 'MEDITECH software', 'Microsoft Excel']",Physicians who diagnose and provide non-surgical treatment of diseases and injuries of internal organ systems. Provide care mainly for adults who have a wide range of problems associated with the internal organs.
Obstetricians and Gynecologists,"['Prepare government and organizational reports on birth, death, and disease statistics, workforce evaluations, or the medical status of individuals.', 'Conduct research to develop or test medications, treatments, or procedures to prevent or control disease or injury.']","['Collect, record, and maintain patient information, such as medical histories, reports, or examination results.', 'Treat diseases of female organs.', 'Care for and treat women during prenatal, natal, and postnatal periods.', 'Prescribe or administer therapy, medication, and other specialized medical care to treat or prevent illness, disease, or injury.', ""Perform cesarean sections or other surgical procedures as needed to preserve patients' health and deliver babies safely."", 'Analyze records, reports, test results, or examination information to diagnose medical condition of patient.', 'Explain procedures and discuss test results or prescribed treatments with patients.', ""Monitor patients' conditions and progress and reevaluate treatments as necessary."", 'Advise patients and community members concerning diet, activity, hygiene, and disease prevention.', 'Refer patient to medical specialist or other practitioner when necessary.', 'Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.', 'Consult with or provide consulting services to other physicians.', 'Plan, implement, or administer health programs in hospitals, businesses, or communities for prevention and treatment of injuries or illnesses.']","['Medical procedure coding software', 'MEDITECH software', 'Microsoft Excel']","Physicians who provide medical care related to pregnancy or childbirth and those who diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general medical care to women."
"Pediatricians, General","['Operate on patients to remove, repair, or improve functioning of diseased or injured body parts and systems.', 'Conduct research to study anatomy and develop or test medications, treatments, or procedures to prevent or control disease or injury.', 'Plan, implement, or administer health programs or standards in hospitals, businesses, or communities for prevention or treatment of injury or illness.', 'Prepare government or organizational reports of birth, death, and disease statistics, workforce evaluations, or medical status of individuals.']","['Examine children regularly to assess their growth and development.', 'Treat children who have minor illnesses, acute and chronic health problems, and growth and development concerns.', 'Collect, record, and maintain patient information, such as medical history, reports, or examination results.', 'Prescribe or administer treatment, therapy, medication, vaccination, and other specialized medical care to treat or prevent illness, disease, or injury in infants and children.', 'Examine patients or order, perform, and interpret diagnostic tests to obtain information on medical condition and determine diagnosis.', 'Advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.', 'Explain procedures and discuss test results or prescribed treatments with patients and parents or guardians.', ""Monitor patients' conditions and progress and reevaluate treatments as necessary."", 'Plan and execute medical care programs to aid in the mental and physical growth and development of children and adolescents.', 'Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.', 'Refer patient to medical specialist or other practitioner when necessary.', 'Provide consulting services to other physicians.']",['Microsoft Access'],"Physicians who diagnose, treat, and help prevent children's diseases and injuries."
Psychiatrists,['Serve on committees to promote or maintain community mental health services or delivery systems.'],"['Prescribe, direct, or administer psychotherapeutic treatments or medications to treat mental, emotional, or behavioral disorders.', 'Gather and maintain patient information and records, including social or medical history obtained from patients, relatives, or other professionals.', 'Design individualized care plans, using a variety of treatments.', 'Collaborate with physicians, psychologists, social workers, psychiatric nurses, or other professionals to discuss treatment plans and progress.', 'Analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.', 'Examine or conduct laboratory or diagnostic tests on patients to provide information on general physical condition or mental disorder.', 'Counsel outpatients or other patients during office visits.', ""Advise or inform guardians, relatives, or significant others of patients' conditions or treatment."", 'Teach, take continuing education classes, attend conferences or seminars, or conduct research and publish findings to increase understanding of mental, emotional, or behavioral states or disorders.', 'Review and evaluate treatment procedures and outcomes of other psychiatrists or medical professionals.', 'Prepare and submit case reports or summaries to government or mental health agencies.']","['Microsoft Excel', 'Microsoft Outlook']","Physicians who diagnose, treat, and help prevent disorders of the mind."
Surgeons,['Conduct research to develop and test surgical techniques that can improve operating procedures and outcomes.'],"['Follow established surgical techniques during the operation.', 'Examine patient to obtain information on medical condition and surgical risk.', ""Operate on patients to correct deformities, repair injuries, prevent and treat diseases, or improve or restore patients' functions."", ""Analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure."", ""Prescribe preoperative and postoperative treatments and procedures, such as sedatives, diets, antibiotics, or preparation and treatment of the patient's operative area."", 'Diagnose bodily disorders and orthopedic conditions and provide treatments, such as medicines and surgeries, in clinics, hospital wards, or operating rooms.', 'Provide consultation and surgical assistance to other physicians and surgeons.', 'Direct and coordinate activities of nurses, assistants, specialists, residents, and other medical staff.', 'Refer patient to medical specialist or other practitioners when necessary.', 'Prepare case histories.', 'Manage surgery services, including planning, scheduling and coordination, determination of procedures, or procurement of supplies and equipment.', 'Examine instruments, equipment, and operating room to ensure sterility.']",['Epic Systems'],"Physicians who treat diseases, injuries, and deformities by invasive, minimally-invasive, or non-invasive surgical methods, such as using instruments, appliances, or by manual manipulation."
Allergists and Immunologists,['Present research findings at national meetings or in peer-reviewed journals.'],"['Diagnose or treat allergic or immunologic conditions.', 'Order or perform diagnostic tests such as skin pricks and intradermal, patch, or delayed hypersensitivity tests.', 'Educate patients about diagnoses, prognoses, or treatments.', 'Develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.', 'Prescribe medication such as antihistamines, antibiotics, and nasal, oral, topical, or inhaled glucocorticosteroids.', ""Document patients' medical histories."", 'Conduct physical examinations of patients.', 'Assess the risks and benefits of therapies for allergic and immunologic disorders.', 'Interpret diagnostic test results to make appropriate differential diagnoses.', 'Provide therapies, such as allergen immunotherapy or immunoglobin therapy, to treat immune conditions.', 'Coordinate the care of patients with other health care professionals or support staff.', 'Engage in self-directed learning and continuing education activities.', 'Perform allergen provocation tests such as nasal, conjunctival, bronchial, oral, food, or medication challenges.', 'Provide allergy or immunology consultation or education to physicians or other health care providers.', 'Conduct laboratory or clinical research on allergy or immunology topics.']","['Microsoft Excel', 'Microsoft PowerPoint']","Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
Dermatologists,"['Instruct interns or residents in diagnosis and treatment of dermatological diseases.', 'Provide liposuction treatment to patients.', 'Provide dermabrasion or laser abrasion to treat atrophic scars, elevated scars, or other skin conditions.', 'Conduct clinical or basic research.']","['Diagnose and treat pigmented lesions such as common acquired nevi, congenital nevi, dysplastic nevi, Spitz nevi, blue nevi, or melanoma.', 'Conduct complete skin examinations.', 'Counsel patients on topics such as the need for annual dermatologic screenings, sun protection, skin cancer awareness, or skin and lymph node self-examinations.', ""Record patients' health histories."", ""Diagnose and treat skin conditions such as acne, dandruff, athlete's foot, moles, psoriasis, or skin cancer."", 'Perform incisional biopsies to diagnose melanoma.', 'Perform skin surgery to improve appearance, make early diagnoses, or control diseases such as skin cancer.', 'Prescribe hormonal agents or topical treatments such as contraceptives, spironolactone, antiandrogens, oral corticosteroids, retinoids, benzoyl peroxide, or antibiotics.', ""Recommend diagnostic tests based on patients' histories and physical examination findings."", 'Provide dermatologic consultation to other health professionals.', 'Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in dermatology.', 'Refer patients to other specialists, as needed.', 'Conduct or order diagnostic tests such as chest radiographs (x-rays), microbiologic tests, or endocrinologic tests.', 'Provide therapies such as intralesional steroids, chemical peels, or comodo removal to treat age spots, sun damage, rough skin, discolored skin, or oily skin.', 'Evaluate patients to determine eligibility for cosmetic procedures such as liposuction, laser resurfacing, or microdermabrasion.']",[],"Diagnose, treat, and help prevent diseases or other conditions of the skin."
Hospitalists,[],"['Diagnose, treat, or provide continuous care to hospital inpatients.', 'Prescribe medications or treatment regimens to hospital inpatients.', 'Admit patients for hospital stays.', 'Order or interpret the results of tests such as laboratory tests and radiographs (x-rays).', 'Conduct discharge planning and discharge patients.', 'Refer patients to medical specialists, social services or other professionals as appropriate.', 'Write patient discharge summaries and send them to primary care physicians.', 'Attend inpatient consultations in areas of specialty.', ""Communicate with patients' primary care physicians upon admission, when treatment plans change, or at discharge to maintain continuity and quality of care."", 'Participate in continuing education activities to maintain or enhance knowledge and skills.', 'Direct the operations of short stay or specialty units.', 'Direct, coordinate, or supervise the patient care activities of nursing or support staff.', 'Train or supervise medical students, residents, or other health professionals.']","['Medical procedure coding software', 'MEDITECH software', 'Microsoft Excel', 'Microsoft PowerPoint']","Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment."
Neurologists,"['Perform specialized treatments in areas such as sleep disorders, neuroimmunology, neuro-oncology, behavioral neurology, and neurogenetics.', 'Prescribe or administer treatments such as transcranial magnetic stimulation, vagus nerve stimulation, and deep brain stimulation.']","['Interview patients to obtain information such as complaints, symptoms, medical histories, and family histories.', 'Examine patients to obtain information about functional status of areas such as vision, physical strength, coordination, reflexes, sensations, language skills, cognitive abilities, and mental status.', 'Perform or interpret the outcomes of procedures or diagnostic tests such as lumbar punctures, electroencephalography, electromyography, and nerve conduction velocity tests.', ""Order or interpret results of laboratory analyses of patients' blood or cerebrospinal fluid."", 'Diagnose neurological conditions based on interpretation of examination findings, histories, or test results.', 'Prescribe or administer medications, such as anti-epileptic drugs, and monitor patients for behavioral and cognitive side effects.', 'Identify and treat major neurological system diseases and disorders such as central nervous system infection, cranio spinal trauma, dementia, and stroke.', 'Develop treatment plans based on diagnoses and on evaluation of factors such as age and general health, or procedural risks and costs.', 'Inform patients or families of neurological diagnoses and prognoses, or benefits, risks and costs of various treatment plans.', ""Prepare, maintain, or review records that include patients' histories, neurological examination findings, treatment plans, or outcomes."", ""Communicate with other health care professionals regarding patients' conditions and care."", 'Counsel patients or others on the background of neurological disorders including risk factors, or genetic or environmental concerns.', 'Interpret the results of neuroimaging studies such as Magnetic Resonance Imaging (MRI), Single Photon Emission Computed Tomography (SPECT), and Positron Emission Tomography (PET) scans.', 'Determine brain death using accepted tests and procedures.', 'Coordinate neurological services with other health care team activities.', 'Refer patients to other health care practitioners as necessary.', 'Advise other physicians on the treatment of neurological problems.', 'Participate in continuing education activities to maintain and expand competence.', 'Order supportive care services such as physical therapy, specialized nursing care, and social services.', 'Provide training to medical students or staff members.', 'Supervise medical technicians in the performance of neurological diagnostic or therapeutic activities.', 'Participate in neuroscience research activities.']","['Microsoft Excel', 'Microsoft PowerPoint']","Diagnose, treat, and help prevent diseases and disorders of the nervous system."
Nuclear Medicine Physicians,"['Schedule examinations and staff activities.', 'Consult with anesthesiologists regarding recommended dosages or combinations of sedative drugs.', 'Conduct laboratory procedures, such as radioimmunoassay studies of blood or urine, using radionuclides.']","['Prepare comprehensive interpretive reports of findings.', 'Check and approve the quality of diagnostic images before patients are discharged.', 'Establish and enforce radiation protection standards for patients and staff.', 'Interpret imaging data and confer with other medical specialists to formulate diagnoses.', 'Prescribe radionuclides and dosages to be administered to individual patients.', ""Review procedure requests and patients' medical histories to determine applicability of procedures and radioisotopes to be used."", 'Direct nuclear medicine technologists or technicians regarding desired dosages, techniques, positions, and projections.', ""Determine appropriate tests or protocols based on patients' needs or conditions."", 'Compare nuclear medicine procedures with other types of procedures such as computed tomography, ultrasonography, nuclear magnetic resonance imaging, and angiography.', 'Monitor handling of radioactive materials to ensure that established procedures are followed.', 'Monitor quality control of radionuclide preparation, administration, or disposition ensuring that activities comply with applicable regulations and standards.', 'Advise other physicians of the clinical indications, limitations, assessments, or risks of diagnostic and therapeutic applications of radioactive materials.', 'Perform cardiovascular nuclear medicine procedures such as exercise testing and pharmacologic stress testing.', 'Administer radioisotopes to clinical patients or research subjects.', 'Interview and physically examine patients prior to testing.', 'Calculate, measure, or prepare radioisotope dosages.', 'Teach nuclear medicine, diagnostic radiology, or other specialties at graduate educational level.', 'Consult with patients following radiation treatments to provide information and assess outcomes or to recommend further consultation or treatments as appropriate.', 'Test dosage evaluation instruments and survey meters to ensure they are operating properly.', 'Monitor cleanup of radioactive spills to ensure that proper procedures are followed and that decontamination activities are conducted.', 'Formulate plans and procedures for nuclear medicine departments.', 'Direct the safe management and disposal of radioactive substances.', 'Provide advice on the selection of nuclear medicine supplies or equipment.']",['Microsoft Excel'],"Diagnose and treat diseases using radioactive materials and techniques. May monitor radionuclide preparation, administration, and disposition."
Ophthalmologists,[],"['Perform ophthalmic surgeries such as cataract, glaucoma, refractive, corneal, vitro-retinal, eye muscle, or oculoplastic surgeries.', 'Perform comprehensive examinations of the visual system to determine the nature or extent of ocular disorders.', 'Diagnose or treat injuries, disorders, or diseases of the eye and eye structures including the cornea, sclera, conjunctiva, or eyelids.', ""Document or evaluate patients' medical histories."", 'Provide or direct the provision of postoperative care.', 'Perform, order, or interpret the results of diagnostic or clinical tests.', ""Develop treatment plans based on patients' histories and goals, the nature and severity of disorders, and treatment risks and benefits."", 'Prescribe or administer topical or systemic medications to treat ophthalmic conditions and to manage pain.', 'Perform laser surgeries to alter, remove, reshape, or replace ocular tissue.', 'Provide ophthalmic consultation to other medical professionals.', 'Educate patients about maintenance and promotion of healthy vision.', 'Collaborate with multidisciplinary teams of health professionals to provide optimal patient care.', 'Refer patients for more specialized treatments when conditions exceed the experience, expertise, or scope of practice of practitioner.', 'Develop or implement plans and procedures for ophthalmologic services.', 'Instruct interns, residents, or others in ophthalmologic procedures and techniques.', 'Prescribe ophthalmologic treatments or therapies such as chemotherapy, cryotherapy, or low vision therapy.', 'Prescribe corrective lenses such as glasses or contact lenses.', 'Conduct clinical or laboratory-based research in ophthalmology.']",['Microsoft Excel'],"Diagnose, treat, and help prevent diseases and injuries of the eyes and related structures."
Pathologists,"[""Diagnose infections, such as Hepatitis B and Acquired Immune Deficiency Syndrome (AIDS), by conducting tests to detect the antibodies that patients' immune systems make to fight such infections."", 'Conduct genetic analyses of deoxyribonucleic acid (DNA) or chromosomes to diagnose small biopsies and cell samples.', 'Obtain specimens by performing procedures such as biopsies or fine need aspirations (FNAs) of superficial nodules.', 'Conduct research and present scientific findings.', 'Perform autopsies to determine causes of deaths.', 'Testify in depositions or trials as an expert witness.']","['Examine microscopic samples to identify diseases or other abnormalities.', 'Diagnose diseases or study medical conditions using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, or molecular biology.', 'Write pathology reports summarizing analyses, results, and conclusions.', 'Identify the etiology, pathogenesis, morphological change, and clinical significance of diseases.', 'Analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (FNAs), and polymerase chain reactions (PCRs).', 'Communicate pathologic findings to surgeons or other physicians.', 'Read current literature, talk with colleagues, or participate in professional organizations or conferences to keep abreast of developments in pathology.', 'Consult with physicians about ordering and interpreting tests or providing treatments.', 'Plan and supervise the work of the pathology staff, residents or visiting pathologists.', 'Review cases by analyzing autopsies, laboratory findings, or case investigation reports.', 'Educate physicians, students, and other personnel in medical laboratory professions such as medical technology, cytotechnology, or histotechnology.', 'Manage medical laboratories.', 'Develop or adopt new tests or instruments to improve diagnosis of diseases.']",['Microsoft Excel'],"Diagnose presence and stage of diseases using laboratory techniques and patient specimens. Study the nature, cause, and development of diseases. May perform autopsies."
